Gm#,Home_Game,Opp,Streak,Tm,W-L,W/L,Team_Win_Percentage
88,0,TEX,-1,LAA,44-44,L,0.5
89,0,HOU,1,LAA,45-44,W,0.5056179775280899
90,0,HOU,-1,LAA,45-45,L,0.5
91,0,HOU,-2,LAA,45-46,L,0.4945054945054945
92,1,SEA,1,LAA,46-46,W,0.5
93,1,SEA,2,LAA,47-46,W,0.5053763440860215
94,1,SEA,3,LAA,48-46,W,0.5106382978723404
95,1,HOU,4,LAA,49-46,W,0.5157894736842106
96,1,HOU,5,LAA,50-46,W,0.5208333333333334
97,1,HOU,-1,LAA,50-47,L,0.5154639175257731
98,1,HOU,-2,LAA,50-48,L,0.5102040816326531
99,0,SEA,-3,LAA,50-49,L,0.5050505050505051
100,0,SEA,1,LAA,51-49,W,0.51
101,0,SEA,2,LAA,52-49,W,0.5148514851485149
102,0,LAD,3,LAA,53-49,W,0.5196078431372549
103,0,LAD,4,LAA,54-49,W,0.5242718446601942
104,1,BAL,-1,LAA,54-50,L,0.5192307692307693
105,1,BAL,-2,LAA,54-51,L,0.5142857142857142
106,1,BAL,-3,LAA,54-52,L,0.5094339622641509
107,1,BAL,1,LAA,55-52,W,0.514018691588785
108,1,DET,-1,LAA,55-53,L,0.5092592592592593
109,1,DET,1,LAA,56-53,W,0.5137614678899083
110,1,DET,-1,LAA,56-54,L,0.509090909090909
111,0,CLE,-2,LAA,56-55,L,0.5045045045045045
112,0,CLE,-3,LAA,56-56,L,0.5
113,0,CLE,-4,LAA,56-57,L,0.49557522123893805
114,0,CIN,-5,LAA,56-58,L,0.49122807017543857
115,0,CIN,-6,LAA,56-59,L,0.48695652173913045
116,0,BOS,-7,LAA,56-60,L,0.4827586206896552
117,0,BOS,-8,LAA,56-61,L,0.47863247863247865
118,0,BOS,1,LAA,57-61,W,0.4830508474576271
119,0,BOS,2,LAA,58-61,W,0.48739495798319327
120,1,PIT,-1,LAA,58-62,L,0.48333333333333334
121,1,PIT,-2,LAA,58-63,L,0.4793388429752066
122,1,PIT,1,LAA,59-63,W,0.48360655737704916
123,1,CHW,2,LAA,60-63,W,0.4878048780487805
124,1,CHW,-1,LAA,60-64,L,0.4838709677419355
125,1,CHW,1,LAA,61-64,W,0.488
126,1,CHW,2,LAA,62-64,W,0.49206349206349204
127,0,TEX,-1,LAA,62-65,L,0.4881889763779528
128,0,TEX,1,LAA,63-65,W,0.4921875
129,0,TEX,-1,LAA,63-66,L,0.4883720930232558
130,0,TEX,-2,LAA,63-67,L,0.4846153846153846
131,0,HOU,-3,LAA,63-68,L,0.48091603053435117
132,0,HOU,-4,LAA,63-69,L,0.4772727272727273
133,0,HOU,-5,LAA,63-70,L,0.47368421052631576
134,1,TEX,1,LAA,64-70,W,0.47761194029850745
135,1,TEX,-1,LAA,64-71,L,0.4740740740740741
136,1,BOS,-2,LAA,64-72,L,0.47058823529411764
137,1,BOS,1,LAA,65-72,W,0.4744525547445255
138,1,BOS,-1,LAA,65-73,L,0.47101449275362317
139,0,OAK,-2,LAA,65-74,L,0.4676258992805755
140,0,OAK,-3,LAA,65-75,L,0.4642857142857143
141,0,OAK,-4,LAA,65-76,L,0.46099290780141844
142,0,CHW,1,LAA,66-76,W,0.4647887323943662
143,0,CHW,2,LAA,67-76,W,0.46853146853146854
144,0,CHW,-1,LAA,67-77,L,0.4652777777777778
145,1,CLE,-2,LAA,67-78,L,0.46206896551724136
146,1,CLE,-3,LAA,67-79,L,0.4589041095890411
147,1,CLE,-4,LAA,67-80,L,0.4557823129251701
148,1,TBR,-5,LAA,67-81,L,0.4527027027027027
149,1,TBR,-6,LAA,67-82,L,0.44966442953020136
150,1,TBR,1,LAA,68-82,W,0.4533333333333333
151,0,NYY,-1,LAA,68-83,L,0.4503311258278146
152,0,NYY,1,LAA,69-83,W,0.45394736842105265
153,0,NYY,-1,LAA,69-84,L,0.45098039215686275
154,0,HOU,-2,LAA,69-85,L,0.44805194805194803
155,0,HOU,1,LAA,70-85,W,0.45161290322580644
156,0,HOU,-1,LAA,70-86,L,0.44871794871794873
157,1,OAK,1,LAA,71-86,W,0.45222929936305734
158,1,OAK,-1,LAA,71-87,L,0.44936708860759494
159,1,HOU,1,LAA,72-87,W,0.4528301886792453
160,1,HOU,-1,LAA,72-88,L,0.45
161,1,HOU,-2,LAA,72-89,L,0.4472049689440994
162,1,HOU,-3,LAA,72-90,L,0.4444444444444444
1,0,TBR,1,HOU,1-0,W,1.0
2,0,TBR,-1,HOU,1-1,L,0.5
3,0,TBR,-2,HOU,1-2,L,0.3333333333333333
4,0,TBR,-3,HOU,1-3,L,0.25
5,0,TEX,1,HOU,2-3,W,0.4
6,0,TEX,-1,HOU,2-4,L,0.3333333333333333
7,0,TEX,-2,HOU,2-5,L,0.2857142857142857
8,1,OAK,1,HOU,3-5,W,0.375
9,1,OAK,2,HOU,4-5,W,0.4444444444444444
10,1,OAK,3,HOU,5-5,W,0.5
11,1,NYY,4,HOU,6-5,W,0.5454545454545454
12,1,NYY,5,HOU,7-5,W,0.5833333333333334
13,1,NYY,6,HOU,8-5,W,0.6153846153846154
14,0,SEA,7,HOU,9-5,W,0.6428571428571429
15,0,SEA,8,HOU,10-5,W,0.6666666666666666
16,0,SEA,9,HOU,11-5,W,0.6875
17,0,OAK,10,HOU,12-5,W,0.7058823529411765
18,0,OAK,-1,HOU,12-6,L,0.6666666666666666
19,0,TEX,1,HOU,13-6,W,0.6842105263157895
20,0,TEX,-1,HOU,13-7,L,0.65
21,0,TEX,-2,HOU,13-8,L,0.6190476190476191
22,1,MIN,-3,HOU,13-9,L,0.5909090909090909
23,1,MIN,1,HOU,14-9,W,0.6086956521739131
24,1,MIN,2,HOU,15-9,W,0.625
25,1,CLE,-1,HOU,15-10,L,0.6
26,1,CLE,-2,HOU,15-11,L,0.5769230769230769
27,1,CLE,1,HOU,16-11,W,0.5925925925925926
28,1,CLE,2,HOU,17-11,W,0.6071428571428571
29,0,MIN,-1,HOU,17-12,L,0.5862068965517241
30,0,MIN,1,HOU,18-12,W,0.6
31,0,MIN,-1,HOU,18-13,L,0.5806451612903226
32,0,MIN,-2,HOU,18-14,L,0.5625
33,0,LAA,1,HOU,19-14,W,0.5757575757575758
34,0,LAA,2,HOU,20-14,W,0.5882352941176471
35,1,KCR,3,HOU,21-14,W,0.6
36,1,KCR,-1,HOU,21-15,L,0.5833333333333334
37,1,KCR,1,HOU,22-15,W,0.5945945945945946
38,1,TEX,2,HOU,23-15,W,0.6052631578947368
39,1,TEX,3,HOU,24-15,W,0.6153846153846154
40,1,TEX,4,HOU,25-15,W,0.625
41,1,TEX,5,HOU,26-15,W,0.6341463414634146
42,0,DET,6,HOU,27-15,W,0.6428571428571429
43,0,DET,7,HOU,28-15,W,0.6511627906976745
44,0,DET,8,HOU,29-15,W,0.6590909090909091
45,0,BOS,9,HOU,30-15,W,0.6666666666666666
46,0,BOS,10,HOU,31-15,W,0.6739130434782609
47,0,BOS,-1,HOU,31-16,L,0.6595744680851063
48,1,CHW,1,HOU,32-16,W,0.6666666666666666
49,1,CHW,2,HOU,33-16,W,0.673469387755102
50,1,CHW,-1,HOU,33-17,L,0.66
51,1,CHW,-2,HOU,33-18,L,0.6470588235294118
52,1,BOS,1,HOU,34-18,W,0.6538461538461539
53,1,BOS,2,HOU,35-18,W,0.660377358490566
54,1,BOS,-1,HOU,35-19,L,0.6481481481481481
55,1,CHC,1,HOU,36-19,W,0.6545454545454545
56,1,CHC,2,HOU,37-19,W,0.6607142857142857
57,1,CHC,-1,HOU,37-20,L,0.6491228070175439
58,0,OAK,1,HOU,38-20,W,0.6551724137931034
59,0,OAK,2,HOU,39-20,W,0.6610169491525424
60,0,OAK,3,HOU,40-20,W,0.6666666666666666
61,0,SEA,4,HOU,41-20,W,0.6721311475409836
62,0,SEA,5,HOU,42-20,W,0.6774193548387096
63,0,SEA,-1,HOU,42-21,L,0.6666666666666666
64,0,SEA,1,HOU,43-21,W,0.671875
65,1,BAL,2,HOU,44-21,W,0.676923076923077
66,1,BAL,-1,HOU,44-22,L,0.6666666666666666
67,1,BAL,1,HOU,45-22,W,0.6716417910447762
68,1,MIL,2,HOU,46-22,W,0.6764705882352942
69,1,MIL,-1,HOU,46-23,L,0.6666666666666666
70,1,TOR,1,HOU,47-23,W,0.6714285714285714
71,1,TOR,2,HOU,48-23,W,0.676056338028169
72,1,TOR,-1,HOU,48-24,L,0.6666666666666666
73,0,CIN,-2,HOU,48-25,L,0.6575342465753424
74,0,CIN,-3,HOU,48-26,L,0.6486486486486487
75,0,CIN,-4,HOU,48-27,L,0.64
76,0,NYY,-5,HOU,48-28,L,0.631578947368421
77,0,NYY,-6,HOU,48-29,L,0.6233766233766234
78,0,NYY,-7,HOU,48-30,L,0.6153846153846154
79,0,NYY,1,HOU,49-30,W,0.620253164556962
80,1,PIT,2,HOU,50-30,W,0.625
81,1,PIT,-1,HOU,50-31,L,0.6172839506172839
82,1,PIT,-2,HOU,50-32,L,0.6097560975609756
83,1,SEA,1,HOU,51-32,W,0.6144578313253012
84,1,SEA,2,HOU,52-32,W,0.6190476190476191
85,1,SEA,3,HOU,53-32,W,0.6235294117647059
86,0,COL,4,HOU,54-32,W,0.627906976744186
87,0,COL,5,HOU,55-32,W,0.632183908045977
88,1,LAA,-1,HOU,55-33,L,0.625
89,1,LAA,1,HOU,56-33,W,0.6292134831460674
90,1,LAA,2,HOU,57-33,W,0.6333333333333333
91,0,TEX,-1,HOU,57-34,L,0.6263736263736264
92,0,TEX,-2,HOU,57-35,L,0.6195652173913043
93,0,TEX,1,HOU,58-35,W,0.6236559139784946
94,0,TEX,2,HOU,59-35,W,0.6276595744680851
95,0,LAA,-1,HOU,59-36,L,0.6210526315789474
96,0,LAA,-2,HOU,59-37,L,0.6145833333333334
97,0,LAA,1,HOU,60-37,W,0.6185567010309279
98,0,LAA,2,HOU,61-37,W,0.6224489795918368
99,1,TEX,3,HOU,62-37,W,0.6262626262626263
100,1,TEX,4,HOU,63-37,W,0.63
101,1,TEX,5,HOU,64-37,W,0.6336633663366337
102,1,OAK,6,HOU,65-37,W,0.6372549019607843
103,1,OAK,-1,HOU,65-38,L,0.6310679611650486
104,1,OAK,1,HOU,66-38,W,0.6346153846153846
105,0,STL,-1,HOU,66-39,L,0.6285714285714286
106,0,STL,1,HOU,67-39,W,0.6320754716981132
107,0,STL,2,HOU,68-39,W,0.6355140186915887
108,0,CLE,3,HOU,69-39,W,0.6388888888888888
109,0,CLE,-1,HOU,69-40,L,0.6330275229357798
110,0,CLE,1,HOU,70-40,W,0.6363636363636364
111,1,SEA,2,HOU,71-40,W,0.6396396396396397
112,1,SEA,3,HOU,72-40,W,0.6428571428571429
113,1,SEA,4,HOU,73-40,W,0.6460176991150443
114,1,COL,5,HOU,74-40,W,0.6491228070175439
115,1,COL,6,HOU,75-40,W,0.6521739130434783
116,0,BAL,7,HOU,76-40,W,0.6551724137931034
117,0,BAL,8,HOU,77-40,W,0.6581196581196581
118,0,BAL,-1,HOU,77-41,L,0.652542372881356
119,0,CHW,1,HOU,78-41,W,0.6554621848739496
120,0,CHW,-1,HOU,78-42,L,0.65
121,0,CHW,-2,HOU,78-43,L,0.6446280991735537
122,0,OAK,-3,HOU,78-44,L,0.639344262295082
123,0,OAK,-4,HOU,78-45,L,0.6341463414634146
124,0,OAK,-5,HOU,78-46,L,0.6290322580645161
125,0,OAK,1,HOU,79-46,W,0.632
126,1,DET,2,HOU,80-46,W,0.6349206349206349
127,1,DET,3,HOU,81-46,W,0.6377952755905512
128,1,DET,-1,HOU,81-47,L,0.6328125
129,1,DET,1,HOU,82-47,W,0.6356589147286822
130,1,LAA,2,HOU,83-47,W,0.6384615384615384
131,1,LAA,3,HOU,84-47,W,0.6412213740458015
132,1,LAA,4,HOU,85-47,W,0.6439393939393939
133,1,TBR,5,HOU,86-47,W,0.6466165413533834
134,1,TBR,6,HOU,87-47,W,0.6492537313432836
135,1,TBR,-1,HOU,87-48,L,0.6444444444444445
136,0,TOR,1,HOU,88-48,W,0.6470588235294118
137,0,TOR,-1,HOU,88-49,L,0.6423357664233577
138,0,TOR,1,HOU,89-49,W,0.644927536231884
139,0,MIL,2,HOU,90-49,W,0.6474820143884892
140,0,MIL,-1,HOU,90-50,L,0.6428571428571429
141,1,SEA,1,HOU,91-50,W,0.6453900709219859
142,1,SEA,2,HOU,92-50,W,0.647887323943662
143,1,SEA,3,HOU,93-50,W,0.6503496503496503
144,1,SEA,4,HOU,94-50,W,0.6527777777777778
145,1,OAK,5,HOU,95-50,W,0.6551724137931034
146,1,OAK,-1,HOU,95-51,L,0.6506849315068494
147,1,OAK,-2,HOU,95-52,L,0.6462585034013606
148,1,OAK,-3,HOU,95-53,L,0.6418918918918919
149,0,KCR,1,HOU,96-53,W,0.6442953020134228
150,0,KCR,2,HOU,97-53,W,0.6466666666666666
151,0,KCR,3,HOU,98-53,W,0.6490066225165563
152,1,TEX,4,HOU,99-53,W,0.6513157894736842
153,1,TEX,5,HOU,100-53,W,0.6535947712418301
154,1,LAA,6,HOU,101-53,W,0.6558441558441559
155,1,LAA,-1,HOU,101-54,L,0.6516129032258065
156,1,LAA,1,HOU,102-54,W,0.6538461538461539
157,0,SEA,2,HOU,103-54,W,0.6560509554140127
158,0,SEA,3,HOU,104-54,W,0.6582278481012658
159,0,LAA,-1,HOU,104-55,L,0.6540880503144654
160,0,LAA,1,HOU,105-55,W,0.65625
161,0,LAA,2,HOU,106-55,W,0.6583850931677019
162,0,LAA,3,HOU,107-55,W,0.6604938271604939
1,1,SEA,-1,OAK,0-1,L,0.0
2,1,SEA,-2,OAK,0-2,L,0.0
3,1,LAA,1,OAK,1-2,W,0.3333333333333333
4,1,LAA,-1,OAK,1-3,L,0.25
5,1,LAA,1,OAK,2-3,W,0.4
6,1,LAA,2,OAK,3-3,W,0.5
7,1,BOS,3,OAK,4-3,W,0.5714285714285714
8,1,BOS,4,OAK,5-3,W,0.625
9,1,BOS,-1,OAK,5-4,L,0.5555555555555556
10,1,BOS,1,OAK,6-4,W,0.6
11,0,HOU,-1,OAK,6-5,L,0.5454545454545454
12,0,HOU,-2,OAK,6-6,L,0.5
13,0,HOU,-3,OAK,6-7,L,0.46153846153846156
14,0,BAL,-4,OAK,6-8,L,0.42857142857142855
15,0,BAL,1,OAK,7-8,W,0.4666666666666667
16,0,BAL,2,OAK,8-8,W,0.5
17,0,BAL,3,OAK,9-8,W,0.5294117647058824
18,0,TEX,4,OAK,10-8,W,0.5555555555555556
19,0,TEX,-1,OAK,10-9,L,0.5263157894736842
20,1,HOU,-2,OAK,10-10,L,0.5
21,1,HOU,1,OAK,11-10,W,0.5238095238095238
22,1,TOR,-1,OAK,11-11,L,0.5
23,1,TOR,-2,OAK,11-12,L,0.4782608695652174
24,1,TOR,-3,OAK,11-13,L,0.4583333333333333
25,1,TEX,1,OAK,12-13,W,0.48
26,1,TEX,2,OAK,13-13,W,0.5
27,1,TEX,3,OAK,14-13,W,0.5185185185185185
28,0,TOR,-1,OAK,14-14,L,0.5
29,0,TOR,-2,OAK,14-15,L,0.4827586206896552
30,0,TOR,-3,OAK,14-16,L,0.4666666666666667
31,0,BOS,-4,OAK,14-17,L,0.45161290322580644
32,0,BOS,-5,OAK,14-18,L,0.4375
33,0,BOS,-6,OAK,14-19,L,0.42424242424242425
34,0,PIT,1,OAK,15-19,W,0.4411764705882353
35,0,PIT,-1,OAK,15-20,L,0.42857142857142855
36,0,PIT,-2,OAK,15-21,L,0.4166666666666667
37,1,CIN,1,OAK,16-21,W,0.43243243243243246
38,1,CIN,2,OAK,17-21,W,0.4473684210526316
39,1,CIN,-1,OAK,17-22,L,0.4358974358974359
40,1,CLE,1,OAK,18-22,W,0.45
41,1,CLE,2,OAK,19-22,W,0.4634146341463415
42,1,CLE,-1,OAK,19-23,L,0.4523809523809524
43,0,SEA,-2,OAK,19-24,L,0.4418604651162791
44,0,SEA,-3,OAK,19-25,L,0.4318181818181818
45,0,DET,1,OAK,20-25,W,0.4444444444444444
46,0,DET,2,OAK,21-25,W,0.45652173913043476
47,0,DET,3,OAK,22-25,W,0.46808510638297873
48,0,DET,4,OAK,23-25,W,0.4791666666666667
49,0,CLE,5,OAK,24-25,W,0.4897959183673469
50,0,CLE,6,OAK,25-25,W,0.5
51,0,CLE,7,OAK,26-25,W,0.5098039215686274
52,1,SEA,8,OAK,27-25,W,0.5192307692307693
53,1,SEA,9,OAK,28-25,W,0.5283018867924528
54,1,SEA,10,OAK,29-25,W,0.5370370370370371
55,1,LAA,11,OAK,30-25,W,0.5454545454545454
56,1,LAA,-1,OAK,30-26,L,0.5357142857142857
57,1,LAA,-2,OAK,30-27,L,0.5263157894736842
58,1,HOU,-3,OAK,30-28,L,0.5172413793103449
59,1,HOU,-4,OAK,30-29,L,0.5084745762711864
60,1,HOU,-5,OAK,30-30,L,0.5
61,0,LAA,1,OAK,31-30,W,0.5081967213114754
62,0,LAA,-1,OAK,31-31,L,0.5
63,0,LAA,1,OAK,32-31,W,0.5079365079365079
64,0,TEX,2,OAK,33-31,W,0.515625
65,0,TEX,-1,OAK,33-32,L,0.5076923076923077
66,0,TEX,-2,OAK,33-33,L,0.5
67,0,TEX,1,OAK,34-33,W,0.5074626865671642
68,0,TBR,-1,OAK,34-34,L,0.5
69,0,TBR,1,OAK,35-34,W,0.5072463768115942
70,0,TBR,2,OAK,36-34,W,0.5142857142857142
71,1,SEA,-1,OAK,36-35,L,0.5070422535211268
72,1,SEA,1,OAK,37-35,W,0.5138888888888888
73,1,SEA,-1,OAK,37-36,L,0.5068493150684932
74,1,BAL,1,OAK,38-36,W,0.5135135135135135
75,1,BAL,2,OAK,39-36,W,0.52
76,1,BAL,3,OAK,40-36,W,0.5263157894736842
77,1,TBR,4,OAK,41-36,W,0.5324675324675324
78,1,TBR,-1,OAK,41-37,L,0.5256410256410257
79,1,TBR,1,OAK,42-37,W,0.5316455696202531
80,1,TBR,-1,OAK,42-38,L,0.525
81,0,STL,1,OAK,43-38,W,0.5308641975308642
82,0,STL,2,OAK,44-38,W,0.5365853658536586
83,0,LAA,-1,OAK,44-39,L,0.5301204819277109
84,0,LAA,1,OAK,45-39,W,0.5357142857142857
85,0,LAA,2,OAK,46-39,W,0.5411764705882353
86,0,LAA,3,OAK,47-39,W,0.5465116279069767
87,1,MIN,4,OAK,48-39,W,0.5517241379310345
88,1,MIN,-1,OAK,48-40,L,0.5454545454545454
89,1,MIN,1,OAK,49-40,W,0.550561797752809
90,0,SEA,2,OAK,50-40,W,0.5555555555555556
91,0,SEA,-1,OAK,50-41,L,0.5494505494505495
92,0,SEA,1,OAK,51-41,W,0.5543478260869565
93,1,CHW,2,OAK,52-41,W,0.5591397849462365
94,1,CHW,3,OAK,53-41,W,0.5638297872340425
95,1,CHW,4,OAK,54-41,W,0.5684210526315789
96,1,SEA,5,OAK,55-41,W,0.5729166666666666
97,1,SEA,6,OAK,56-41,W,0.5773195876288659
98,0,MIN,-1,OAK,56-42,L,0.5714285714285714
99,0,MIN,1,OAK,57-42,W,0.5757575757575758
100,0,MIN,2,OAK,58-42,W,0.58
101,0,MIN,-1,OAK,58-43,L,0.5742574257425742
102,0,HOU,-2,OAK,58-44,L,0.5686274509803921
103,0,HOU,1,OAK,59-44,W,0.5728155339805825
104,0,HOU,-1,OAK,59-45,L,0.5673076923076923
105,1,TEX,-2,OAK,59-46,L,0.5619047619047619
106,1,TEX,-3,OAK,59-47,L,0.5566037735849056
107,1,TEX,1,OAK,60-47,W,0.5607476635514018
108,1,TEX,2,OAK,61-47,W,0.5648148148148148
109,1,MIL,3,OAK,62-47,W,0.5688073394495413
110,1,MIL,-1,OAK,62-48,L,0.5636363636363636
111,1,MIL,1,OAK,63-48,W,0.5675675675675675
112,1,STL,2,OAK,64-48,W,0.5714285714285714
113,1,STL,3,OAK,65-48,W,0.5752212389380531
114,0,CHC,-1,OAK,65-49,L,0.5701754385964912
115,0,CHC,1,OAK,66-49,W,0.5739130434782609
116,0,CHC,-1,OAK,66-50,L,0.5689655172413793
117,0,CHW,1,OAK,67-50,W,0.5726495726495726
118,0,CHW,-1,OAK,67-51,L,0.5677966101694916
119,0,CHW,1,OAK,68-51,W,0.5714285714285714
120,0,SFG,-1,OAK,68-52,L,0.5666666666666667
121,0,SFG,1,OAK,69-52,W,0.5702479338842975
122,1,HOU,2,OAK,70-52,W,0.5737704918032787
123,1,HOU,3,OAK,71-52,W,0.5772357723577236
124,1,HOU,4,OAK,72-52,W,0.5806451612903226
125,1,HOU,-1,OAK,72-53,L,0.576
126,1,NYY,1,OAK,73-53,W,0.5793650793650794
127,1,NYY,2,OAK,74-53,W,0.5826771653543307
128,1,NYY,3,OAK,75-53,W,0.5859375
129,1,SFG,-1,OAK,75-54,L,0.5813953488372093
130,1,SFG,-2,OAK,75-55,L,0.5769230769230769
131,0,KCR,1,OAK,76-55,W,0.5801526717557252
132,0,KCR,2,OAK,77-55,W,0.5833333333333334
133,0,KCR,-1,OAK,77-56,L,0.5789473684210527
134,0,KCR,1,OAK,78-56,W,0.582089552238806
135,0,NYY,2,OAK,79-56,W,0.5851851851851851
136,0,NYY,-1,OAK,79-57,L,0.5808823529411765
137,0,NYY,-2,OAK,79-58,L,0.5766423357664233
138,1,LAA,1,OAK,80-58,W,0.5797101449275363
139,1,LAA,2,OAK,81-58,W,0.5827338129496403
140,1,LAA,3,OAK,82-58,W,0.5857142857142857
141,1,DET,-1,OAK,82-59,L,0.5815602836879432
142,1,DET,1,OAK,83-59,W,0.5845070422535211
143,1,DET,2,OAK,84-59,W,0.5874125874125874
144,0,HOU,-1,OAK,84-60,L,0.5833333333333334
145,0,HOU,1,OAK,85-60,W,0.5862068965517241
146,0,HOU,2,OAK,86-60,W,0.589041095890411
147,0,HOU,3,OAK,87-60,W,0.5918367346938775
148,0,TEX,4,OAK,88-60,W,0.5945945945945946
149,0,TEX,5,OAK,89-60,W,0.5973154362416108
150,0,TEX,6,OAK,90-60,W,0.6
151,1,KCR,-1,OAK,90-61,L,0.5960264900662252
152,1,KCR,1,OAK,91-61,W,0.5986842105263158
153,1,KCR,2,OAK,92-61,W,0.6013071895424836
154,1,TEX,3,OAK,93-61,W,0.6038961038961039
155,1,TEX,4,OAK,94-61,W,0.6064516129032258
156,1,TEX,-1,OAK,94-62,L,0.6025641025641025
157,0,LAA,-2,OAK,94-63,L,0.5987261146496815
158,0,LAA,1,OAK,95-63,W,0.6012658227848101
159,0,SEA,2,OAK,96-63,W,0.6037735849056604
160,0,SEA,-1,OAK,96-64,L,0.6
161,0,SEA,1,OAK,97-64,W,0.6024844720496895
162,0,SEA,-1,OAK,97-65,L,0.5987654320987654
1,1,DET,-1,TOR,0-1,L,0.0
2,1,DET,1,TOR,1-1,W,0.5
